Fantome;Source (MeV);Angle (degres);Pastille 1;Pastille 2;Pastille 3;Pastille 4;Pastille 5;Pastille 6;Moyenne r‚elle (barns);Ecart type r‚el
ELIPSOIDE2;SILENEPb4m;315;9,55E-01;8,62E-02;0,00E+00;8,93E-02;1,00E+00;9,99E-01;4,17E-08;3,48E-08
ELIPSOIDE2;CALIBAN025m;60;9,94E-01;1,00E+00;7,97E-01;0,00E+00;1,66E-02;8,68E-01;3,17E-07;2,08E-07
ELIPSOIDE4;CALIBAN3m;315;9,88E-01;3,90E-02;0,00E+00;4,04E-02;9,76E-01;1,00E+00;1,99E-07;1,84E-07
ELIPSOIDE4;SILENEPb4m;300;9,20E-01;3,85E-03;0,00E+00;5,74E-01;9,97E-01;1,00E+00;4,55E-08;3,35E-08
CYLINDRIQUE;Flattop;330;9,74E-01;1,24E-01;0,00E+00;1,23E-01;9,56E-01;1,00E+00;1,37E-08;1,08E-08
ELIPSOIDE2;SILENENU05m;180;0,00E+00;8,24E-01;1,00E+00;9,79E-01;7,24E-01;1,43E-03;2,07E-07;1,34E-07
CYLINDRIQUE;CALIBAN025m;255;4,54E-02;0,00E+00;5,29E-01;9,77E-01;9,88E-01;1,00E+00;3,08E-07;2,08E-07
ELIPSOIDE1;CALIBAN025m;60;1,00E+00;9,85E-01;8,16E-01;0,00E+00;2,91E-02;8,67E-01;3,31E-07;2,03E-07
CYLINDRIQUE;SILENEPb4m;240;0,00E+00;9,18E-04;8,20E-01;1,00E+00;9,99E-01;8,42E-01;4,84E-08;3,24E-08
CYLINDRIQUE;SILENENU4m;300;8,62E-01;7,28E-04;0,00E+00;8,44E-01;9,87E-01;1,00E+00;1,07E-07;7,05E-08
ELIPSOIDE2;SILENENU4m;165;2,05E-02;9,88E-01;9,81E-01;1,00E+00;8,80E-01;0,00E+00;1,14E-07;7,33E-08
CYLINDRIQUE;SILENEPb4m;135;5,01E-01;9,64E-01;1,00E+00;9,43E-01;4,35E-02;0,00E+00;4,62E-08;3,24E-08
ELIPSOIDE3;SILENEPb4m;225;0,00E+00;6,17E-02;9,69E-01;1,00E+00;9,77E-01;6,60E-02;4,11E-08;3,63E-08
CYLINDRIQUE;CALIBAN025m;345;1,00E+00;6,78E-01;0,00E+00;4,55E-02;9,67E-01;9,92E-01;3,26E-07;2,13E-07
ELIPSOIDE4;CALIBAN3m;330;9,89E-01;1,59E-01;0,00E+00;2,16E-02;9,82E-01;1,00E+00;2,05E-07;1,78E-07
ELIPSOIDE2;SILENENU4m;195;0,00E+00;9,48E-01;9,73E-01;1,00E+00;9,90E-01;2,77E-02;1,13E-07;7,20E-08
ELIPSOIDE3;SILENENU4m;60;9,90E-01;1,00E+00;6,97E-01;0,00E+00;1,10E-02;9,40E-01;1,05E-07;7,29E-08
ELIPSOIDE1;SILENENU05m;150;7,77E-02;9,46E-01;1,00E+00;9,81E-01;5,16E-01;0,00E+00;2,14E-07;1,33E-07
ELIPSOIDE4;SILENENU05m;315;9,94E-01;3,76E-02;0,00E+00;4,06E-02;9,81E-01;1,00E+00;1,73E-07;1,62E-07
CYLINDRIQUE;CALIBAN3m;225;0,00E+00;4,39E-02;9,60E-01;1,00E+00;9,96E-01;4,94E-01;2,36E-07;1,64E-07
ELIPSOIDE2;Flattop;315;9,46E-01;9,83E-02;0,00E+00;9,22E-02;1,00E+00;9,92E-01;1,31E-08;1,05E-08
ELIPSOIDE2;CALIBAN025m;45;1,00E+00;9,92E-01;1,14E-01;0,00E+00;1,05E-01;9,46E-01;2,78E-07;2,20E-07
ELIPSOIDE2;SILENENU4m;225;0,00E+00;9,40E-02;9,41E-01;1,00E+00;9,92E-01;1,03E-01;9,21E-08;7,51E-08
ELIPSOIDE4;SILENENU05m;255;9,93E-03;0,00E+00;8,72E-01;9,92E-01;1,00E+00;8,84E-01;2,10E-07;1,47E-07
ELIPSOIDE1;CALIBAN3m;240;0,00E+00;2,67E-02;8,24E-01;1,00E+00;9,39E-01;8,12E-01;2,51E-07;1,55E-07
ELIPSOIDE4;SILENENU4m;345;9,88E-01;7,27E-01;0,00E+00;8,95E-03;9,56E-01;1,00E+00;1,06E-07;7,42E-08
ELIPSOIDE1;CALIBAN3m;180;2,59E-03;7,58E-01;1,00E+00;9,72E-01;7,98E-01;0,00E+00;2,52E-07;1,48E-07
ELIPSOIDE1;SILENENU4m;270;6,03E-01;0,00E+00;5,81E-01;9,05E-01;1,00E+00;9,43E-01;1,18E-07;5,72E-08
ELIPSOIDE1;SILENEPb4m;135;1,43E-01;9,31E-01;9,67E-01;1,00E+00;1,42E-01;0,00E+00;4,46E-08;3,28E-08
ELIPSOIDE4;CALIBAN3m;195;0,00E+00;7,45E-01;9,99E-01;1,00E+00;9,63E-01;8,41E-03;2,41E-07;1,68E-07
ELIPSOIDE2;CALIBAN025m;135;1,03E-01;9,74E-01;9,78E-01;1,00E+00;1,12E-01;0,00E+00;2,78E-07;2,21E-07
ELIPSOIDE2;SILENEPb4m;45;1,00E+00;9,71E-01;9,79E-02;0,00E+00;9,16E-02;9,54E-01;4,19E-08;3,46E-08
ELIPSOIDE1;SILENENU4m;180;3,75E-03;7,66E-01;1,00E+00;9,74E-01;8,13E-01;0,00E+00;1,10E-07;6,60E-08
ELIPSOIDE3;CALIBAN3m;150;3,95E-02;9,96E-01;1,00E+00;9,94E-01;2,49E-01;0,00E+00;2,19E-07;1,73E-07
CYLINDRIQUE;SILENENU05m;135;5,00E-01;9,35E-01;9,82E-01;1,00E+00;4,20E-02;0,00E+00;2,02E-07;1,40E-07
ELIPSOIDE3;SILENENU4m;360;9,84E-01;8,36E-01;0,00E+00;8,30E-04;8,24E-01;1,00E+00;1,05E-07;7,01E-08
CYLINDRIQUE;CALIBAN025m;225;0,00E+00;4,82E-02;9,46E-01;9,84E-01;1,00E+00;5,02E-01;3,12E-07;2,12E-07
ELIPSOIDE1;SILENENU05m;270;6,13E-01;0,00E+00;6,13E-01;9,61E-01;1,00E+00;9,67E-01;2,35E-07;1,13E-07
ELIPSOIDE1;SILENEPb4m;360;9,80E-01;7,98E-01;0,00E+00;3,19E-03;7,34E-01;1,00E+00;4,98E-08;3,03E-08
ELIPSOIDE3;SILENENU4m;120;7,28E-01;1,00E+00;9,97E-01;9,51E-01;9,42E-03;0,00E+00;1,05E-07;7,24E-08
ELIPSOIDE4;SILENENU05m;165;8,78E-03;9,51E-01;1,00E+00;9,88E-01;7,30E-01;0,00E+00;2,10E-07;1,47E-07
ELIPSOIDE3;Flattop;60;9,94E-01;1,00E+00;6,94E-01;0,00E+00;1,06E-02;9,57E-01;1,48E-08;1,03E-08
ELIPSOIDE1;CALIBAN3m;360;9,65E-01;7,95E-01;0,00E+00;3,67E-03;7,50E-01;1,00E+00;2,52E-07;1,49E-07
ELIPSOIDE4;SILENEPb4m;120;5,75E-01;9,98E-01;1,00E+00;9,19E-01;3,95E-03;0,00E+00;4,55E-08;3,35E-08
ELIPSOIDE2;SILENENU05m;165;2,46E-02;9,72E-01;9,63E-01;1,00E+00;8,79E-01;0,00E+00;2,28E-07;1,45E-07
ELIPSOIDE3;SILENEPb4m;105;8,77E-01;9,97E-01;1,00E+00;8,63E-01;0,00E+00;1,77E-02;4,91E-08;3,38E-08
ELIPSOIDE3;CALIBAN025m;105;8,94E-01;1,00E+00;9,84E-01;8,82E-01;0,00E+00;2,51E-02;3,28E-07;2,23E-07
ELIPSOIDE3;Flattop;150;4,40E-02;9,99E-01;9,99E-01;1,00E+00;2,54E-01;0,00E+00;1,39E-08;1,09E-08
ELIPSOIDE4;SILENEPb4m;150;1,58E-02;9,76E-01;1,00E+00;9,93E-01;1,43E-01;0,00E+00;4,09E-08;3,62E-08
ELIPSOIDE3;Flattop;315;9,82E-01;7,50E-02;0,00E+00;7,77E-02;9,93E-01;1,00E+00;1,29E-08;1,10E-08
ELIPSOIDE3;SILENENU4m;300;9,75E-01;1,19E-02;0,00E+00;7,30E-01;1,00E+00;9,98E-01;1,04E-07;7,21E-08
ELIPSOIDE2;CALIBAN025m;330;9,55E-01;3,53E-01;0,00E+00;6,54E-02;9,59E-01;1,00E+00;3,01E-07;2,12E-07
ELIPSOIDE2;SILENEPb4m;15;1,00E+00;9,84E-01;2,98E-02;0,00E+00;9,17E-01;9,54E-01;5,14E-08;3,30E-08
CYLINDRIQUE;SILENENU05m;15;9,94E-01;1,00E+00;3,82E-02;0,00E+00;6,99E-01;9,53E-01;2,12E-07;1,40E-07
ELIPSOIDE3;SILENENU4m;345;9,88E-01;8,11E-01;0,00E+00;1,64E-02;9,39E-01;1,00E+00;1,11E-07;7,40E-08
ELIPSOIDE3;SILENENU4m;105;8,86E-01;1,00E+00;1,00E+00;8,63E-01;0,00E+00;1,88E-02;1,08E-07;7,39E-08
ELIPSOIDE4;SILENENU05m;180;0,00E+00;8,20E-01;9,77E-01;1,00E+00;8,41E-01;4,29E-04;2,07E-07;1,44E-07
ELIPSOIDE3;SILENENU05m;30;1,00E+00;9,48E-01;3,70E-02;0,00E+00;2,56E-01;9,58E-01;1,89E-07;1,50E-07
ELIPSOIDE4;CALIBAN025m;315;9,94E-01;4,17E-02;0,00E+00;4,88E-02;9,97E-01;1,00E+00;2,63E-07;2,43E-07
ELIPSOIDE2;Flattop;180;0,00E+00;8,12E-01;1,00E+00;9,98E-01;7,73E-01;1,15E-03;1,51E-08;9,63E-09
ELIPSOIDE2;Flattop;165;2,77E-02;9,71E-01;1,00E+00;9,87E-01;8,96E-01;0,00E+00;1,64E-08;1,03E-08
ELIPSOIDE4;CALIBAN025m;75;9,95E-01;1,00E+00;8,96E-01;1,22E-02;0,00E+00;8,77E-01;3,19E-07;2,22E-07
ELIPSOIDE4;CALIBAN3m;105;8,72E-01;1,00E+00;9,93E-01;8,91E-01;0,00E+00;1,07E-02;2,41E-07;1,68E-07
CYLINDRIQUE;Flattop;195;0,00E+00;7,20E-01;9,58E-01;9,84E-01;1,00E+00;4,76E-02;1,54E-08;9,95E-09
ELIPSOIDE3;SILENENU05m;270;5,20E-01;0,00E+00;5,18E-01;9,80E-01;1,00E+00;9,80E-01;2,25E-07;1,21E-07
ELIPSOIDE2;CALIBAN3m;210;0,00E+00;3,52E-01;9,69E-01;1,00E+00;9,67E-01;5,12E-02;2,27E-07;1,63E-07
ELIPSOIDE1;CALIBAN3m;345;1,00E+00;9,46E-01;0,00E+00;3,92E-02;9,53E-01;9,87E-01;2,68E-07;1,55E-07
ELIPSOIDE1;SILENENU05m;15;9,71E-01;1,00E+00;4,29E-02;0,00E+00;9,03E-01;9,23E-01;2,29E-07;1,34E-07
ELIPSOIDE2;CALIBAN025m;270;5,69E-01;0,00E+00;5,78E-01;9,82E-01;1,00E+00;9,86E-01;3,53E-07;1,79E-07
ELIPSOIDE3;SILENEPb4m;135;6,60E-02;9,83E-01;1,00E+00;9,72E-01;6,15E-02;0,00E+00;4,10E-08;3,62E-08
ELIPSOIDE1;SILENENU4m;75;9,94E-01;1,00E+00;8,84E-01;5,71E-02;0,00E+00;8,99E-01;1,10E-07;6,95E-08
ELIPSOIDE3;CALIBAN025m;165;1,78E-02;9,55E-01;1,00E+00;9,96E-01;8,25E-01;0,00E+00;3,33E-07;2,19E-07
ELIPSOIDE4;CALIBAN3m;150;2,13E-02;9,83E-01;1,00E+00;9,89E-01;1,60E-01;0,00E+00;2,05E-07;1,78E-07
ELIPSOIDE2;SILENENU05m;360;9,92E-01;7,33E-01;2,41E-03;0,00E+00;8,22E-01;1,00E+00;2,07E-07;1,34E-07
ELIPSOIDE3;Flattop;180;1,10E-03;8,13E-01;1,00E+00;9,99E-01;8,42E-01;0,00E+00;1,50E-08;9,93E-09
ELIPSOIDE4;SILENEPb4m;90;9,86E-01;1,00E+00;9,72E-01;4,24E-01;0,00E+00;4,34E-01;4,95E-08;2,92E-08
ELIPSOIDE1;Flattop;300;9,27E-01;2,86E-02;0,00E+00;7,68E-01;9,85E-01;1,00E+00;1,56E-08;9,63E-09
CYLINDRIQUE;CALIBAN025m;105;9,53E-01;9,90E-01;1,00E+00;5,04E-01;0,00E+00;4,27E-02;3,11E-07;2,12E-07
ELIPSOIDE3;CALIBAN025m;300;9,73E-01;1,13E-02;0,00E+00;7,46E-01;9,97E-01;1,00E+00;3,14E-07;2,15E-07
ELIPSOIDE4;Flattop;300;9,33E-01;6,90E-03;0,00E+00;5,91E-01;9,85E-01;1,00E+00;1,44E-08;1,04E-08
ELIPSOIDE4;SILENENU4m;300;9,13E-01;4,16E-03;0,00E+00;5,76E-01;9,96E-01;1,00E+00;9,99E-08;7,32E-08
CYLINDRIQUE;CALIBAN025m;120;8,59E-01;9,87E-01;1,00E+00;8,71E-01;0,00E+00;3,34E-03;3,22E-07;2,09E-07
ELIPSOIDE3;CALIBAN3m;120;7,47E-01;1,00E+00;9,89E-01;9,62E-01;1,25E-02;0,00E+00;2,37E-07;1,63E-07
ELIPSOIDE4;SILENENU4m;15;1,00E+00;9,55E-01;8,52E-03;0,00E+00;7,35E-01;1,00E+00;1,06E-07;7,40E-08
ELIPSOIDE2;SILENENU05m;210;0,00E+00;3,51E-01;9,54E-01;1,00E+00;9,46E-01;4,78E-02;1,97E-07;1,42E-07
ELIPSOIDE4;CALIBAN3m;135;4,22E-02;9,87E-01;9,94E-01;1,00E+00;3,91E-02;0,00E+00;1,99E-07;1,85E-07
ELIPSOIDE2;CALIBAN3m;105;8,31E-01;1,00E+00;9,64E-01;8,67E-01;0,00E+00;3,05E-02;2,44E-07;1,63E-07
ELIPSOIDE3;CALIBAN3m;315;9,66E-01;7,01E-02;0,00E+00;7,56E-02;9,90E-01;1,00E+00;2,03E-07;1,76E-07
CYLINDRIQUE;Flattop;60;9,99E-01;1,00E+00;8,49E-01;1,05E-03;0,00E+00;8,22E-01;1,53E-08;1,00E-08
ELIPSOIDE4;Flattop;210;0,00E+00;1,63E-01;9,97E-01;1,00E+00;9,75E-01;2,29E-02;1,29E-08;1,11E-08
ELIPSOIDE4;SILENENU4m;285;8,82E-01;0,00E+00;7,83E-03;8,74E-01;1,00E+00;9,88E-01;1,06E-07;7,41E-08
ELIPSOIDE2;CALIBAN3m;90;9,92E-01;1,00E+00;9,83E-01;5,60E-01;0,00E+00;5,80E-01;2,68E-07;1,37E-07
ELIPSOIDE4;CALIBAN025m;150;2,18E-02;9,76E-01;1,00E+00;9,93E-01;1,68E-01;0,00E+00;2,72E-07;2,34E-07
ELIPSOIDE3;SILENENU4m;330;1,00E+00;2,45E-01;0,00E+00;3,98E-02;9,81E-01;9,91E-01;9,60E-08;7,68E-08
ELIPSOIDE4;SILENENU4m;210;0,00E+00;1,50E-01;1,00E+00;9,99E-01;9,81E-01;1,98E-02;9,02E-08;7,93E-08
ELIPSOIDE3;SILENEPb4m;45;1,00E+00;9,83E-01;6,66E-02;0,00E+00;6,26E-02;9,85E-01;4,11E-08;3,63E-08
CYLINDRIQUE;SILENEPb4m;150;1,02E-01;9,71E-01;1,00E+00;9,86E-01;1,16E-01;0,00E+00;4,32E-08;3,53E-08
CYLINDRIQUE;SILENENU4m;60;1,00E+00;9,98E-01;8,65E-01;0,00E+00;6,33E-04;8,45E-01;1,07E-07;7,05E-08
ELIPSOIDE2;CALIBAN025m;210;0,00E+00;3,54E-01;9,55E-01;1,00E+00;9,54E-01;5,63E-02;3,01E-07;2,14E-07
ELIPSOIDE2;SILENENU05m;75;9,73E-01;1,00E+00;8,55E-01;3,93E-02;0,00E+00;8,48E-01;2,10E-07;1,40E-07
ELIPSOIDE1;Flattop;75;9,92E-01;1,00E+00;9,36E-01;5,70E-02;0,00E+00;9,08E-01;1,58E-08;9,81E-09
ELIPSOIDE3;CALIBAN3m;330;9,96E-01;2,51E-01;0,00E+00;3,89E-02;9,96E-01;1,00E+00;2,18E-07;1,73E-07
ELIPSOIDE3;CALIBAN025m;30;1,00E+00;9,61E-01;4,23E-02;0,00E+00;2,66E-01;9,80E-01;2,88E-07;2,24E-07
ELIPSOIDE2;SILENENU4m;120;7,63E-01;1,00E+00;9,96E-01;9,42E-01;1,83E-02;0,00E+00;1,06E-07;7,08E-08
