Fantome;Source (MeV);Angle (degres);Pastille 1;Pastille 2;Pastille 3;Pastille 4;Pastille 5;Pastille 6;Moyenne reelle (barns);Ecart type reel
M1A;SILENEPb4m;300;0,00E+00;9,41E-01;9,73E-01;9,82E-01;1,00E+00;2,52E-01;5,74E-08;2,80E-08
M1E;Flattop;225;2,84E-01;1,00E+00;9,67E-01;9,72E-01;1,46E-01;0,00E+00;1,43E-08;1,02E-08
M1C;SILENENU05m;270;0,00E+00;6,94E-01;9,84E-01;1,00E+00;7,57E-01;1,99E-02;2,24E-07;1,18E-07
M1C;Flattop;270;0,00E+00;6,94E-01;9,99E-01;1,00E+00;8,07E-01;3,12E-02;1,60E-08;8,27E-09
M1A;CALIBAN025m;300;0,00E+00;9,44E-01;9,85E-01;9,99E-01;1,00E+00;2,64E-01;3,82E-07;1,75E-07
M1A;Flattop;135;1,00E+00;9,70E-01;4,11E-01;0,00E+00;1,94E-01;9,47E-01;1,54E-08;8,63E-09
M1C;CALIBAN025m;210;6,10E-01;3,17E-01;1,00E+00;8,05E-01;1,08E-01;0,00E+00;2,59E-07;1,76E-07
M1E;SILENENU05m;315;0,00E+00;1,35E-01;9,81E-01;9,72E-01;1,00E+00;3,62E-01;2,03E-07;1,41E-07
M1A;SILENENU05m;300;0,00E+00;9,25E-01;9,77E-01;1,00E+00;9,86E-01;2,47E-01;2,51E-07;1,19E-07
M1E;CALIBAN025m;345;4,76E-03;0,00E+00;1,00E+00;9,66E-01;5,24E-01;9,71E-01;2,98E-07;2,12E-07
M1A;CALIBAN3m;270;2,18E-02;7,07E-01;1,00E+00;9,96E-01;8,08E-01;0,00E+00;2,59E-07;1,31E-07
M1E;CALIBAN025m;90;9,90E-01;8,36E-01;0,00E+00;8,14E-03;8,02E-01;1,00E+00;3,20E-07;2,08E-07
M1C;SILENENU4m;90;1,00E+00;7,80E-01;0,00E+00;1,30E-02;8,26E-01;9,74E-01;1,11E-07;6,25E-08
M1A;SILENENU05m;105;1,00E+00;9,42E-01;9,17E-02;0,00E+00;9,67E-01;9,64E-01;2,43E-07;1,22E-07
M1C;SILENEPb4m;45;9,57E-01;1,91E-01;0,00E+00;9,20E-01;1,00E+00;9,92E-01;5,44E-08;3,04E-08
M1C;SILENENU4m;240;2,45E-01;1,00E+00;9,62E-01;9,41E-01;8,53E-01;0,00E+00;1,24E-07;6,16E-08
M1A;SILENENU4m;285;0,00E+00;9,15E-01;9,90E-01;1,00E+00;9,70E-01;1,06E-01;1,23E-07;6,15E-08
M1A;CALIBAN3m;255;1,12E-01;9,06E-01;1,00E+00;9,48E-01;9,82E-01;0,00E+00;2,81E-07;1,39E-07
M1A;Flattop;315;0,00E+00;3,94E-01;9,23E-01;9,85E-01;1,00E+00;6,43E-01;1,72E-08;7,95E-09
M1E;SILENEPb4m;285;0,00E+00;9,65E-01;1,00E+00;9,98E-01;9,56E-01;7,10E-02;5,32E-08;3,30E-08
M1A;SILENENU4m;240;2,71E-01;1,00E+00;9,92E-01;9,29E-01;8,09E-01;0,00E+00;1,23E-07;5,89E-08
M1E;SILENENU05m;60;9,74E-01;3,86E-01;0,00E+00;1,77E-01;1,00E+00;9,94E-01;2,04E-07;1,36E-07
M1E;SILENENU4m;30;7,70E-01;0,00E+00;6,07E-03;1,79E-01;1,00E+00;9,66E-01;8,88E-08;7,37E-08
M1E;CALIBAN3m;300;0,00E+00;2,99E-01;1,00E+00;9,95E-01;9,99E-01;7,56E-01;2,69E-07;1,45E-07
M1A;SILENEPb4m;180;9,74E-01;1,00E+00;4,70E-01;1,17E-01;0,00E+00;4,42E-01;4,08E-08;2,87E-08
M1E;Flattop;135;9,55E-01;1,00E+00;2,08E-01;0,00E+00;2,98E-02;9,24E-01;1,36E-08;1,07E-08
M1A;Flattop;270;1,64E-02;7,00E-01;1,00E+00;9,95E-01;8,29E-01;0,00E+00;1,63E-08;8,17E-09
M1E;CALIBAN025m;330;0,00E+00;6,16E-02;9,58E-01;9,35E-01;1,00E+00;2,90E-01;2,97E-07;2,22E-07
M1E;Flattop;165;9,93E-01;3,41E-01;1,00E+00;2,63E-02;0,00E+00;1,93E-01;1,07E-08;9,71E-09
M1C;SILENEPb4m;270;0,00E+00;7,12E-01;9,97E-01;1,00E+00;8,04E-01;2,03E-02;5,06E-08;2,76E-08
M1E;SILENEPb4m;165;1,00E+00;3,23E-01;9,94E-01;1,87E-02;0,00E+00;1,76E-01;3,34E-08;3,16E-08
M1A;CALIBAN025m;45;9,37E-01;5,58E-01;0,00E+00;9,75E-01;9,79E-01;1,00E+00;3,94E-07;1,65E-07
M1A;SILENENU4m;195;9,59E-01;4,28E-01;1,00E+00;9,62E-01;0,00E+00;4,45E-02;1,00E-07;6,79E-08
M1C;SILENENU4m;345;0,00E+00;1,21E-02;9,77E-01;1,00E+00;3,25E-01;9,52E-01;9,60E-08;7,33E-08
M1A;CALIBAN025m;240;2,80E-01;1,00E+00;9,87E-01;9,37E-01;8,18E-01;0,00E+00;3,71E-07;1,72E-07
M1E;SILENEPb4m;345;5,43E-03;0,00E+00;1,00E+00;9,66E-01;4,97E-01;9,70E-01;4,47E-08;3,26E-08
M1E;SILENEPb4m;225;2,64E-01;1,00E+00;9,70E-01;9,73E-01;1,29E-01;0,00E+00;4,50E-08;3,34E-08
M1E;CALIBAN3m;135;9,52E-01;1,00E+00;2,02E-01;0,00E+00;2,42E-02;9,25E-01;2,15E-07;1,71E-07
M1E;SILENEPb4m;135;9,66E-01;1,00E+00;1,89E-01;0,00E+00;2,61E-02;9,25E-01;4,27E-08;3,49E-08
M1E;CALIBAN025m;360;9,13E-02;0,00E+00;4,84E-01;8,29E-01;2,67E-01;1,00E+00;2,32E-07;1,83E-07
M1A;SILENEPb4m;45;9,25E-01;5,47E-01;0,00E+00;9,62E-01;9,86E-01;1,00E+00;5,96E-08;2,59E-08
M1E;Flattop;285;0,00E+00;9,67E-01;1,00E+00;9,86E-01;9,63E-01;8,14E-02;1,68E-08;1,01E-08
M1E;SILENEPb4m;240;9,96E-01;1,00E+00;1,00E+00;9,99E-01;2,88E-01;0,00E+00;5,63E-08;3,09E-08
M1E;CALIBAN3m;150;1,00E+00;9,90E-01;1,20E-01;1,92E-03;0,00E+00;8,24E-01;1,96E-07;1,66E-07
M1E;SILENEPb4m;90;9,97E-01;8,11E-01;0,00E+00;5,09E-03;8,09E-01;1,00E+00;4,81E-08;3,21E-08
